Timestamp,Source name,Results,New results,Function,Save path,Processing time (seconds)
12:52:59 30-04-25,165 Antifraud,3299,,165_antifraud(),sources/165_antifraud/165_antifraud_2025-04.txt,11.996
13:10:13 30-04-25,Artists Against 419,0,,artists_against_419(),,0.471
13:11:28 30-04-25,Artists Against 419,0,,artists_against_419(),,0.538
13:12:36 30-04-25,Artists Against 419,500,,artists_against_419(),sources/artists_against_419/artists_against_419_2025-04.txt,0.707
13:15:40 30-04-25,Artists Against 419,500,,artists_against_419(),sources/artists_against_419/artists_against_419_2025-04.txt,0.803
13:15:49 30-04-25,Artists Against 419,500,,artists_against_419(),sources/artists_against_419/artists_against_419_2025-04.txt,0.775
13:15:55 30-04-25,Artists Against 419,500,,artists_against_419(),sources/artists_against_419/artists_against_419_2025-04.txt,0.753
13:15:59 30-04-25,Artists Against 419,500,,artists_against_419(),sources/artists_against_419/artists_against_419_2025-04.txt,0.750
13:16:19 30-04-25,Artists Against 419,500,,artists_against_419(),sources/artists_against_419/artists_against_419_2025-04.txt,0.794
13:28:08 30-04-25,Artists Against 419,500,,artists_against_419(),sources/artists_against_419/artists_against_419_2025-04.txt,2.673
13:35:14 30-04-25,BehindMLM,101,,behindmlm(),sources/behindmlm/behindmlm_2025-04.txt,2.541
13:38:29 30-04-25,BehindMLM,101,,behindmlm(),sources/behindmlm/behindmlm_2025-04.txt,2.117
13:40:27 30-04-25,BehindMLM,101,,behindmlm(),sources/behindmlm/behindmlm_2025-04.txt,1.217
12:04:31 01-05-25,165 Anti Fraud,3507,,165_anti_fraud(),sources/165_anti_fraud/165_anti_fraud_2025-05.txt,11.194
12:04:32 01-05-25,Artists Against 419,0,,artists_against_419(),,0.538
12:04:35 01-05-25,BehindMLM,102,,behindmlm(),sources/behindmlm/behindmlm_2025-05.txt,3.223
12:06:07 01-05-25,Artists Against 419,500,,artists_against_419(),sources/artists_against_419/artists_against_419_2025-05.txt,0.740
12:14:55 01-05-25,BugsFighter,167,,bugsfighter(),sources/bugsfighter/bugsfighter_2025-05.txt,11.249
13:17:58 02-05-25,BugsFighter,167,,bugsfighter(),sources/bugsfighter/bugsfighter_2025-05.txt,19.145
13:21:59 02-05-25,Česká Obchodní Inspekce,1136,,coi.gov.cz(),sources/Česká_obchodní_inspekce/Česká_obchodní_inspekce_2025-05.txt,4.886
13:41:13 02-05-25,DFPI Crypto Scam Tracker,524,,crypto_scam_tracker(),sources/dfpi_crypto_scam_tracker/dfpi_crypto_scam_tracker_2025-05.txt,0.655
22:43:59 04-05-25,165 Anti Fraud,3507,0,165_anti_fraud(),sources/165_anti_fraud/165_anti_fraud_2025-05.txt,13.468
23:00:26 04-05-25,Artists Against 419,0,0,artists_against_419(),,0.510
23:02:44 04-05-25,Artists Against 419,500,0,artists_against_419(),sources/artists_against_419/artists_against_419_2025-05.txt,0.730
23:08:12 04-05-25,Artists Against 419,500,15,artists_against_419(),sources/artists_against_419/artists_against_419_2025-05.txt,0.828
23:27:41 04-05-25,Test Source,0,0,test_source(),,0.2
23:38:31 04-05-25,Emerging Threats,6250,6250,emerging_threats(),sources/emerging_threats/emerging_threats_2025-05.txt,3.510
23:40:00 04-05-25,FakeWebshopListHUN,8143,8143,fakewebshoplisthun(),sources/fakewebshoplisthun/fakewebshoplisthun_2025-05.txt,0.347
23:45:24 04-05-25,Wildcat Cyber Patrol,364,364,wildcat_cyber_patrol(),sources/wildcat_cyber_patrol/wildcat_cyber_patrol_2025-05.txt,3.933
23:46:58 04-05-25,Wildcat Cyber Patrol,364,0,wildcat_cyber_patrol(),sources/wildcat_cyber_patrol/wildcat_cyber_patrol_2025-05.txt,3.927
17:18:41 05-05-25,BehindMLM,104,8,behindmlm(),sources/behindmlm/behindmlm_2025-05.txt,2.842
17:19:18 05-05-25,BehindMLM,105,0,behindmlm(),sources/behindmlm/behindmlm_2025-05.txt,2.259
17:20:23 05-05-25,BehindMLM,105,0,behindmlm(),sources/behindmlm/behindmlm_2025-05.txt,1.266
